# The universe table -- one row per supported runtime era.  This file is the
# single source of truth for universe names; mkuniverse.py generates
# universe.h from it (make -C src/common), and cc/cpp/ld/apsim all resolve
# names against that header.  Canonical names are short and period-free.
#
# Columns (tab-separated):
#   name    canonical universe name (what PDP11_UNIVERSE / --universe take)
#   id      small integer id, stable once assigned
#   status  full = a compile target: the universal libc + headers serve it and
#           tests pass; sim = apsim runs this era's native binaries (verified)
#           but it is not a compile target; planned = registered, not yet proven.
#           The "full" set is the V7-syscall-convention family (V5..2.9BSD),
#           which the one universal libc serves; 2.10/2.11 use the 4BSD stack-
#           arg convention and remain sim until the libc dispatches it.
#   kern    apsim kernel personality (era-ascending: v1 v56 v7 sys3 ultrix
#           bsd2x bsd210 bsd211); the syscall table/shapes apsim presents
#   aliases comma-separated accepted spellings, or - for none
#   desc    one-line human description
#
# name	id	status	kern	aliases	desc
v1	1	sim	v1	unix72	First Edition UNIX (1971-72); 0405 binaries, KE11-A, 1971 trap conventions
v2	2	sim	v1	-	Second Edition UNIX (1972); 0405 format, V1 personality; sources in ~/unix/v2
v3	3	planned	v56	-	Third Edition UNIX (1973); no complete source tree staged
v4	4	planned	v56	-	Fourth Edition UNIX (1973), first C kernel; sources in ~/unix/v4
v5	5	full	v56	-	Fifth Edition UNIX (1974); universal libc compiles+runs here (root in ~/unix/v5)
v6	6	full	v56	-	Sixth Edition UNIX (1975); universal libc compiles+runs here (root in ~/unix/v6)
v7	7	full	v7	-	Seventh Edition UNIX (1979); the canonical syscall numbering the V7-family libc uses
bsd1	11	planned	v56	1bsd	1BSD (1978), V6-kernel userland; sources in ~/bsd/1bsd
bsd2	20	planned	v7	2bsd	2BSD (1979), V7-kernel userland; sources in ~/bsd/2bsd
bsd279	27	planned	v7	2.79	2.79BSD (1980), V7-kernel userland; sources in ~/bsd/2.79
bsd28	28	full	bsd2x	2.8,2.8bsd	2.8BSD (1981), Ritchie cc era; FP11 D-format floating point
bsd29	29	full	bsd2x	2.9,2.9bsd	2.9BSD (1983), overlays and split I&D; the default universe
bsd210	210	full	bsd210	2.10,2.10bsd	2.10BSD (1987), 4.3-style numbering; the universal libc's 4BSD-convention personality serves it (root in ~/bsd/2.10)
bsd211	211	full	bsd211	2.11,2.11bsd	2.11BSD pl431 (2000), 4.4-style numbering + stack args; the universal libc's 4BSD personality; porting base for new tools
sys3	103	planned	sys3	-	UNIX System III (1980), PDP-11 line; sources in ~/unix/sys3
sys5v2	105	planned	sys3	svr2	System V Release 2 (1984), the last SysV with PDP-11 support; table groundable from ~/unix/svr2 (VAX kit)
ultrix11v2	21	planned	ultrix	ultrix-2.0	DEC Ultrix-11 2.0 (1984); binary tape staged in ~/unix/ultrix11/2.0; 1.0 survives as docs only (lineage root = V7M)
ultrix11	31	planned	ultrix	ultrix,ultrix-3.1	DEC Ultrix-11 3.1 (1986), V7 line + fcntl/ulimit/utssys; staged in ~/unix/ultrix11 (from TUHS)
